296,8325,Sociology Association
297,8330,Fine Arts Society
298,8335,Evolutionary Studies Student Organization
299,8340,PENSA Binghamton
300,8345,Active Minds
301,8350,Student Alliance for Local Living Economies
302,8355,American Sign Language Club
303,8360,Pediatric Cancer Awareness
304,8365,Model Congress
305,8370,Bookworms (The)
306,8375,BU Science
307,8380,Polish Student Association
308,8385,Binghamton International Volunteers
309,8390,Scholars for Soldiers
310,8395,Undergraduate Art History Association
311,8400,State of Mind
312,8405,Angels of the Amazon
313,8410,Students for Sensible Drug Policy
314,8415,The Binghamton University Times Tribune (The BUTT)
315,8420,Corazon De Dahlia
316,8425,Students for Educational Reform
317,8430,Autism Speaks
318,8435,MEDLIFE
319,8440,Page Turners
320,8445,Fellowship of Christion Athletes
321,8450,Harpur Vocal Jazz
322,8455,American Parliamentary Debate Association
323,8460,Advertising Group
324,8465,J Street U
325,8470,Dorm Room Diplomacy
326,8475,Paranormal Association
327,8480,Deeds for Diabetes
328,8485,KONECT
329,8490,Mechanical Contractors Association of America
330,8495,Chanbara
331,8500,SA INK
332,9100,Business Replacement
333,9110,Capital Replacement
334,9120,Discretionary Fund
335,9130,Fundraising Supplement
336,9199,FinCo Allocations (Capital/Business Replacment)
337,9200,Student Congress
338,9202,Student Outreach
339,9300,Student Association Program Bd
340,9400,Semi Formal
341,9410,Leadership Conference
342,9500,Academic Programming
343,9510,Academic Readership Program
344,9600,Intercultural Awareness
345,9700,Marketing and Publications (MAP) Department
346,9800,Student Association
347,9810,E-Board Programming
348,9850,Deficit Coverage
349,9860,Advertising Subsidy
350,9870,Rollover Adj
351,9880,Relay for Life Event Fund (CAC)
352,9890,SA Gives
353,5825,Engineering World Health
354,4725,The Pappy Parker Players
362,5489,Binghamton Treblemakers
363,9999,Misc
364,9999,Misc
366,9999,Test Group
367,9999,Test Group
368,9999,Test Group
369,8202,Medical Roots Project
370,4395,Best Buddies
371,4718,Data Science and Analytics
372,4840,Accounting Association
373,9895,SA Charity
374,9895,SA Charity
375,4335,Fashion Runway
376,8122,Pretty Girls Sweat
377,1,SEE BELOW
378,4025,Association for Applied Sciences - AABS
379,5525,BU Breakers
380,7920,Pokemon Fan Club
381,6520,Pre-Pharmacy Association
382,5625,BEAM
383,4665,College Diabetes Network
384,5775,Mafia Club
385,7535,Paws and Effect
386,9125,Community Discretionary Fund
387,4160ST,Harpur's Ferry State Grant
388,4160V,Harpur's Ferry Vehicle
389,4245,Lebanese Student Association
390,6180,Cheese Club
391,4285,Pre-Occupational & Physical Therapy Assoc (POPTA)
392,8406,The Binghamton Performing Arts
393,6115,Charity Water at Binghamton University
394,6225,Green Wolverine
395,8123,MARS Society
396,7100,Binghamton Law Quarterly
397,6155,Binghamton University Bees
398,6235,Kpop
399,4785,Binghamton University Pink Swear Pack
400,8126,Project Pengyou
401,5070,B-Above
402,8165,Sports Management Group
403,4805,National Alliance on Mental Illness
404,7140,Economics Club
405,8393,Binghamton Investment Association
406,5070,Aviation Student Association
407,5955,Microbiology Club
408,4255,Bangali Student Association
409,5075,Binghamton Audubon
410,4975,Bridge USA
411,7230,Food Recovery Network
412,4055,Moda X
413,4225,Leading Women of Tomorrow
414,7885,Zero Hour Binghamton
415,5185,oSTEM
416,4787,BU Student Chapter Assoc for Women in Mathematics
